TeamId,TeamName,TeamCityName[display=none],Logo,Website,Arena,City
ATL,Hawks,Atlanta,http://loodibee.com/wp-content/uploads/nba-atlanta-hawks-logo-480x480.png,https://www.nba.com/teams/hawks,State Farm Arena,Atlanta
BOS,Celtics,Boston,http://loodibee.com/wp-content/uploads/nba-boston-celtics-logo-480x480.png,https://www.nba.com/teams/celtics,TD Garden,Boston
BRK,Nets,Brooklyn,http://loodibee.com/wp-content/uploads/nba-brooklyn-nets-logo-480x480.png,https://www.nba.com/teams/nets,Barclays Center,Brooklyn
CHA,Hornets,Charlotte,http://loodibee.com/wp-content/uploads/nba-charlotte-hornets-logo-480x480.png,https://www.nba.com/teams/hornets, Spectrum Center,Charlotte
CHI,Bulls,Chicago,http://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo-480x480.png,https://www.nba.com/teams/bulls,United Center,Chicago
CLE,Cavaliers,Cleveland,http://loodibee.com/wp-content/uploads/nba-cleveland-cavaliers-logo-480x480.png,https://www.nba.com/teams/cavaliers,Rocket Mortgage FieldHouse,Cleveland
DAL,Mavericks,Dallas,http://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo-480x480.png,https://www.nba.com/teams/mavericks,American Airlines Center,Dallas
DEN,Nuggets,Denver,http://loodibee.com/wp-content/uploads/nba-denver-nuggets-logo-2018-480x480.png,https://www.nba.com/teams/nuggets, Pepsi Center,Denver
DET,Pistons,Detroit,http://loodibee.com/wp-content/uploads/nba-detroit-pistons-logo-480x480.png,https://www.nba.com/teams/pistons,Little Caesars Arena,Detroit
GSW,Warriors,Golden State,http://loodibee.com/wp-content/uploads/nba-golden-state-warriors-logo-480x480.png,https://www.nba.com/teams/warriors,Chase Center,San Francisco
HOU,Rockets,Houston,http://loodibee.com/wp-content/uploads/nba-houston-rockets-logo-480x480.png,https://www.nba.com/teams/rockets,Toyota Center,Houston
IND,Pacers,Indiana,http://loodibee.com/wp-content/uploads/nba-indiana-pacers-logo-480x480.png,https://www.nba.com/teams/pacers,Bankers Life Fieldhouse,Indiana
LAC,Clippers,Los Angeles,http://loodibee.com/wp-content/uploads/nba-la-clippers-logo-png-480x480.png,https://www.nba.com/teams/clippers,Staples Center,Los Angeles
LAL,Lakers,Los Angeles,http://loodibee.com/wp-content/uploads/nba-los-angeles-lakers-logo-480x480.png,https://www.nba.com/teams/lakers,Staples Center,Los Angeles
MEM,Grizzlies,Memphis,http://loodibee.com/wp-content/uploads/nba-memphis-grizzlies-logo-480x480.png,https://www.nba.com/teams/grizzlies,FedExForum,Memphis
MIA,Heat,Miami,http://loodibee.com/wp-content/uploads/nba-miami-heat-logo-480x480.png,https://www.nba.com/teams/heat,AmericanAirlines Arena,Miami
MIL,Bucks,Milwaukee,http://loodibee.com/wp-content/uploads/nba-milwaukee-bucks-logo-480x480.png,https://www.nba.com/teams/bucks,Fiserv Forum,Milwaukee
MIN,Timberwolves,Minnesota,http://loodibee.com/wp-content/uploads/nba-minnesota-timberwolves-logo-480x480.png,https://www.nba.com/teams/timberwolves,Target Center,Minnesota
NOP,Pelicans,New Orleans,http://loodibee.com/wp-content/uploads/nba-new-orleans-pelicans-logo-480x480.png,https://www.nba.com/teams/pelicans,Smoothie King Center,New Orleans
NYK,Knicks,New York,http://loodibee.com/wp-content/uploads/nba-new-york-knicks-logo-480x480.png,https://www.nba.com/teams/knicks,Madison Square Garden,New York
OKC,Thunder,Oklahoma City,http://loodibee.com/wp-content/uploads/nba-oklahoma-city-thunder-logo-480x480.png,https://www.nba.com/teams/thunder,Chesapeake Energy Arena,Oklahoma City
ORL,Magic,Orlando,http://loodibee.com/wp-content/uploads/nba-orlando-magic-logo-480x480.png,https://www.nba.com/teams/magic,Amway Center,Orlando
PHI,76ers,Philadelphia,http://loodibee.com/wp-content/uploads/nba-philadelphia-76ers-logo-480x480.png,https://www.nba.com/teams/sixers,Wells Fargo Center,Philadelphia
PHX,Suns,Phoenix,http://loodibee.com/wp-content/uploads/nba-phoenix-suns-logo-480x480.png,https://www.nba.com/teams/suns,Talking Stick Resort Arena,Phoenix
POR,Trailblazers,Portland,http://loodibee.com/wp-content/uploads/nba-portland-trail-blazers-logo-480x480.png,https://www.nba.com/teams/blazers,Moda Center,Portland
SAC,Kings,Sacramento,http://loodibee.com/wp-content/uploads/nba-sacramento-kings-logo-480x480.png,https://www.nba.com/teams/kings,Golden 1 Center,Sacramento
SAN,Spurs,San Antonio,http://loodibee.com/wp-content/uploads/nba-san-antonio-spurs-logo-480x480.png,https://www.nba.com/teams/spurs,AT&T Center,San Antonio
TOR,Raptors,Toronto,http://loodibee.com/wp-content/uploads/nba-toronto-raptors-logo-480x480.png,https://www.nba.com/teams/raptors,Scotiabank Arena,Toronto
UTA,Jazz,Utah,http://loodibee.com/wp-content/uploads/nba-utah-jazz-logo-480x480.png,https://www.nba.com/teams/jazz,Vivint Smart Home Arena,Utah
WAS,Wizards,Washington,http://loodibee.com/wp-content/uploads/nba-washington-wizards-logo-480x480.png,https://www.nba.com/teams/wizards,Capital One Arena,Washington